topic,term,beta
3,harney,3.267276453970212e-27
4,harney,3.5959752150984805e-7
5,harney,2.526903878052804e-4
1,woodstock,8.98109489409227e-4
2,woodstock,1.3236860672620878e-27
3,woodstock,2.785114094777045e-25
4,woodstock,0.0027782162592892004
5,woodstock,3.7461089420618264e-18
1,flavel,8.383091113221661e-4
2,flavel,1.6745766122117273e-32
3,flavel,6.094121068218618e-10
4,flavel,3.3832049548693997e-4
5,flavel,4.771317095268011e-16
1,kids,0.009257942801716042
2,kids,2.1733731916137988e-5
3,kids,5.485994485581367e-20
4,kids,3.0616807135169103e-15
5,kids,3.824048277687923e-9
1,47th,3.4221304466174887e-4
2,47th,1.3124564576589359e-5
3,47th,3.603611971083621e-14
4,47th,9.5455255968026e-9
5,47th,0.001378732884101192
1,woodward,7.354764086853293e-8
2,woodward,3.6274581163849046e-17
3,woodward,2.890148062396455e-38
4,woodward,0.0023322266932586156
5,woodward,4.446355328679136e-25
1,55th,4.923599623655621e-8
2,55th,7.221549042700614e-39
3,55th,8.59881424308594e-40
4,55th,2.253568321042822e-16
5,55th,0.0010767305544628833
1,bumps,0.01324225573967452
2,bumps,9.82252258651292e-15
3,bumps,1.367014006754219e-24
4,bumps,2.508960469879649e-7
5,bumps,6.841023168161313e-19
1,drive,0.004386155239357693
2,drive,0.002721573710040074
3,drive,0.0024364367476094086
4,drive,0.0028862219878660954
5,drive,4.7739915283869243e-4
1,rhine,7.917945847587547e-25
2,rhine,7.125566649291565e-71
3,rhine,2.119107157083824e-57
4,rhine,4.137997254883499e-4
5,rhine,4.618228374628605e-103
1,mph,0.011677934147071965
2,mph,2.581742024009022e-16
3,mph,4.0820288848433876e-25
4,mph,3.1006705331017245e-24
5,mph,1.4753169870426698e-17
1,132nd,3.860580665059392e-9
2,132nd,1.1285283651574917e-18
3,132nd,1.1121662455879343e-47
4,132nd,3.385582134743897e-4
5,132nd,1.910312616441889e-36
1,morris,2.2252801438888548e-39
2,morris,5.949231099639348e-4
3,morris,2.4677728684696244e-34
4,morris,2.6606608126350354e-14
5,morris,7.319660873789594e-29
1,fremont,1.7761922906781027e-12
2,fremont,7.678676921726925e-29
3,fremont,2.177909439883275e-23
4,fremont,1.4101173890775813e-22
5,fremont,0.0034631632224317163
1,vehicle,1.665223105400115e-4
2,vehicle,0.0018114048758034796
3,vehicle,0.0033419862609688875
4,vehicle,4.8263394549514816e-4
5,vehicle,0.0010967752841375357
1,43,7.960946851335073e-37
2,43,4.808422180439054e-5
3,43,7.009899809403849e-19
4,43,0.0010016205739111722
5,43,1.3039704292629389e-12
1,60th,0.0011623009805945377
2,60th,9.79111118242985e-8
3,60th,8.39924657236772e-30
4,60th,2.2015064693365732e-13
5,60th,0.0012046510943763207
1,102nd,1.3262279147274522e-4
2,102nd,5.719005462086651e-5
3,102nd,5.769256521857446e-17
4,102nd,1.0513801587794607e-15
5,102nd,6.873560288516749e-4
1,straight,9.469763866745443e-7
2,straight,3.633205078114597e-4
3,straight,2.485370534573942e-4
4,straight,0.0022575769381150876
5,straight,0.0013010415532737373
1,red,1.0048595359535975e-19
2,red,7.624163229991033e-11
3,red,3.1068448767434286e-11
4,red,2.782948380028789e-14
5,red,0.008468743590870593
1,canby,1.6013701013879588e-15
2,canby,7.154230052129696e-46
3,canby,2.527940102716747e-4
4,canby,1.0394931175710367e-105
5,canby,5.330507699409771e-96
1,route,0.0021502448028512277
2,route,0.0030420257859915356
3,route,8.008556040289006e-8
4,route,5.132498812080496e-4
5,route,0.0010611152049599985
1,cully,4.3408729883764375e-4
2,cully,2.7813248644874328e-36
3,cully,4.089756743049855e-29
4,cully,7.397404971552201e-39
5,cully,6.245997721548677e-4
1,morrison,2.5924584413978652e-12
2,morrison,1.2651739735823588e-10
3,morrison,2.907341723045235e-17
